customer_id,film_id,rating,timestamp
1,189,3,2023-12-07 08:20:46
1,104,3,2024-02-11 04:14:19
1,109,4,2024-02-14 08:56:18
1,186,3,2024-08-05 02:47:59
1,97,3,2024-09-22 19:49:48
1,64,3,2024-11-15 12:04:00
1,41,4,2024-11-26 20:10:52
1,106,5,2025-05-15 23:25:55
1,12,3,2025-07-04 15:06:55
1,76,4,2025-07-11 01:22:16
1,200,4,2025-07-17 23:09:28
1,140,5,2025-10-22 16:51:12
1,37,2,2025-11-23 00:54:22
1,100,5,2025-12-28 13:06:09
1,130,4,2026-01-06 19:41:03
1,26,5,2026-03-04 21:08:48
1,90,3,2026-03-20 18:55:26
1,48,3,2026-03-25 00:26:56
1,6,2,2026-04-03 00:01:33
1,71,3,2026-04-18 07:16:56
1,183,5,2026-05-12 03:47:40
2,48,5,2022-03-08 19:48:46
2,30,4,2022-09-14 02:23:03
2,137,5,2022-10-09 13:14:47
2,56,4,2022-11-19 16:34:10
2,140,4,2023-01-20 01:43:03
2,149,3,2023-03-27 22:18:02
2,178,4,2023-07-09 04:46:36
2,61,3,2023-08-14 06:52:19
2,126,4,2023-08-16 07:34:02
2,166,3,2024-02-17 09:15:22
2,200,4,2024-07-03 05:17:26
2,143,1,2025-04-12 21:02:01
2,10,4,2025-04-16 04:40:02
2,54,3,2025-06-28 21:24:04
2,63,2,2025-09-07 10:24:13
2,57,4,2026-04-25 21:45:15
3,143,3,2022-08-13 03:20:34
3,124,4,2022-12-03 18:12:40
3,48,4,2022-12-16 20:13:57
3,176,5,2022-12-20 13:13:27
3,94,3,2023-02-02 18:03:24
3,37,3,2023-03-11 11:35:25
3,158,5,2023-03-15 10:02:27
3,119,4,2023-03-22 10:31:57
3,140,3,2023-06-19 02:15:47
3,132,3,2023-07-08 11:43:36
3,107,4,2023-07-14 20:40:08
3,111,5,2023-09-27 09:10:58
3,3,3,2023-10-06 14:22:04
3,191,5,2023-10-22 06:45:08
3,148,3,2023-10-27 15:21:25
3,45,4,2023-12-18 00:21:27
3,172,3,2024-02-10 10:28:13
3,115,5,2024-02-27 23:08:19
3,122,4,2024-05-19 04:36:19
3,33,5,2024-07-14 09:44:32
3,64,4,2024-11-14 05:58:00
3,2,4,2024-11-16 10:49:09
3,56,2,2025-01-03 09:31:33
3,189,4,2025-02-26 08:36:03
3,166,4,2025-06-26 06:42:17
3,159,5,2025-09-29 21:26:52
3,174,5,2025-12-09 11:36:07
3,190,5,2025-12-30 11:29:06
3,86,5,2026-05-09 05:37:19
3,183,3,2026-06-02 14:14:31
4,106,5,2022-09-10 14:07:29
4,77,2,2022-11-01 02:47:24
4,68,3,2022-11-15 18:01:36
4,136,4,2022-11-17 17:49:55
4,58,1,2022-11-29 10:15:45
4,26,4,2022-12-04 19:04:25
4,2,2,2023-03-29 17:02:30
4,71,3,2023-05-06 05:16:22
4,151,2,2023-07-11 06:12:23
4,181,3,2023-10-27 00:47:10
4,119,4,2023-11-07 09:58:06
4,114,3,2024-01-02 01:50:11
4,45,3,2024-03-29 10:50:10
4,137,4,2024-04-08 06:57:03
4,63,2,2024-04-09 01:07:23
4,193,4,2024-04-20 02:23:56
4,65,2,2024-05-05 22:54:40
4,197,3,2024-05-09 09:37:34
4,123,2,2024-06-23 10:06:50
4,104,3,2024-09-10 21:56:06
4,64,2,2024-10-03 22:15:47
4,188,5,2024-10-15 20:20:14
4,35,4,2024-11-09 23:28:30
4,48,3,2024-12-12 22:11:22
4,90,3,2024-12-23 15:28:54
4,18,2,2024-12-26 14:19:23
4,135,2,2025-01-05 05:35:49
4,177,3,2025-01-22 20:35:09
4,198,3,2025-02-12 05:29:35
4,81,3,2025-02-26 08:13:18
4,168,4,2025-05-17 18:55:01
4,178,3,2025-05-20 09:00:36
4,84,4,2025-06-22 23:51:27
4,44,3,2025-08-09 12:40:39
4,130,3,2025-11-11 09:26:35
4,100,4,2026-02-05 21:20:08
4,140,5,2026-02-24 07:24:15
5,64,5,2023-06-16 19:44:52
5,45,3,2023-06-24 17:52:47
5,185,4,2023-06-29 16:41:10
5,126,4,2023-08-03 17:53:15
5,20,4,2023-08-06 02:06:09
5,166,3,2023-08-10 13:49:54
5,192,4,2023-10-10 11:53:58
5,75,5,2023-11-29 09:31:20
5,89,3,2024-02-28 06:37:48
5,154,4,2024-03-26 14:20:31
5,170,3,2024-04-23 15:00:31
5,123,3,2025-01-16 22:15:28
5,183,4,2025-03-31 04:44:25
5,145,3,2025-04-04 03:13:56
5,189,2,2025-05-14 15:42:09
5,143,2,2025-06-04 06:39:14
5,114,3,2025-06-19 07:52:35
5,168,5,2025-06-25 11:28:11
5,97,5,2025-09-24 12:09:27
5,15,5,2025-10-04 23:00:34
5,73,3,2025-11-07 03:06:22
5,136,3,2025-12-07 11:47:10
5,140,5,2025-12-22 20:38:50
